Afghanistan,lockdown
Albania,lockdown
Algeria,lockdown
American Samoa,No
Andorra,No
Angola,lockdown
Anguilla,No
Antigua and Barbuda,lockdown
Argentina,lockdown
Armenia,lockdown
Aruba,No
Australia,lockdown
Austria,lockdown
Azerbaijan,lockdown
Bahamas,lockdown
Bahrain,No
Bangladesh,lockdown
Barbados,lockdown
Belarus,No
Belgium,lockdown
Belize,lockdown
Benin,No
Bermuda,No
Bhutan,lockdown
Bolivia (Plurinational State of),lockdown
Bonaire,No
Bosnia and Herzegovina,lockdown
Botswana,lockdown
Brazil,lockdown
British Virgin Islands,No
Brunei Darussalam,lockdown
Bulgaria,lockdown
Burkina Faso,No
Burundi,No
Cabo Verde,lockdown
Cambodia,lockdown
Cameroon,No
Canada,No
Cayman Islands,No
Central African Republic,No
Chad,lockdown
Chile,lockdown
China,lockdown
Colombia,lockdown
Comoros,No
Congo,lockdown
Cook Islands,No
Costa Rica,lockdown
C?te d¡¯Ivoire,lockdown
Croatia,lockdown
Cuba,lockdown
Cura?ao,No
Cyprus,lockdown
Czechia,lockdown
Democratic People's Republic of Korea,lockdown
Democratic Republic of the Congo,lockdown
Denmark,lockdown
Djibouti,lockdown
Dominica,lockdown
Dominican Republic,No
Ecuador,lockdown
Egypt,lockdown
El Salvador,lockdown
Equatorial Guinea,lockdown
Eritrea,lockdown
Estonia,lockdown
Eswatini,lockdown
Ethiopia,lockdown
Falkland Islands (Malvinas),No
Faroe Islands,No
Fiji,lockdown
Finland,No
France,lockdown
French Guiana,No
French Polynesia,No
Gabon,lockdown
Gambia,No
Georgia,lockdown
Germany,lockdown
Ghana,lockdown
Gibraltar,No
Greece,lockdown
Greenland,No
Grenada,lockdown
Guadeloupe,No
Guam,No
Guatemala,lockdown
Guernsey,No
Guinea,No
Guinea-Bissau,lockdown
Guyana,lockdown
Haiti,lockdown
Holy See,No
Honduras,lockdown
Hungary,lockdown
Iceland,No
India,lockdown
Indonesia,lockdown
Iran (Islamic Republic of),lockdown
Iraq,lockdown
Ireland,lockdown
Isle of Man,No
Israel,lockdown
Italy,lockdown
Jamaica,lockdown
Japan,lockdown
Jersey,No
Jordan,lockdown
Kazakhstan,lockdown
Kenya,lockdown
Kiribati,No
Kosovo[1],No
Kuwait,lockdown
Kyrgyzstan,lockdown
Lao People's Democratic Republic,lockdown
Latvia,No
Lebanon,lockdown
Lesotho,lockdown
Liberia,lockdown
Libya,lockdown
Liechtenstein,No
Lithuania,lockdown
Luxembourg,lockdown
Madagascar,lockdown
Malawi,lockdown
Malaysia,lockdown
Maldives,lockdown
Mali,No
Malta,lockdown
Marshall Islands,lockdown
Martinique,No
Mauritania,No
Mauritius,lockdown
Mayotte,No
Mexico,lockdown
Micronesia (Federated States of),No
Monaco,No
Mongolia,lockdown
Montenegro,lockdown
Montserrat,No
Morocco,lockdown
Mozambique,No
Myanmar,No
Namibia,lockdown
Nauru,lockdown
Nepal,lockdown
Netherlands,lockdown
New Caledonia,No
New Zealand,lockdown
Nicaragua,No
Niger,No
Nigeria,lockdown
Niue,No
North Macedonia,lockdown
Northern Mariana Islands (Commonwealth of the),No
Norway,No
"occupied Palestinian territory, including east Jerusalem",No
Oman,lockdown
Other,No
Pakistan,lockdown
Palau,No
Panama,lockdown
Papua New Guinea,lockdown
Paraguay,lockdown
Peru,lockdown
Philippines,lockdown
Pitcairn Islands,No
Poland,lockdown
Portugal,lockdown
Puerto Rico,No
Qatar,lockdown
Republic of Korea,lockdown
Republic of Moldova,lockdown
R¨¦union,No
Romania,lockdown
Russian Federation,lockdown
Rwanda,lockdown
Saba,No
Saint Barth¨¦lemy,No
Saint Helena,No
Saint Kitts and Nevis,lockdown
Saint Lucia,lockdown
Saint Martin,No
Saint Pierre and Miquelon,No
Saint Vincent and the Grenadines,No
Samoa,lockdown
San Marino,No
Sao Tome and Principe,lockdown
Saudi Arabia,lockdown
Senegal,No
Serbia,lockdown
Seychelles,lockdown
Sierra Leone,lockdown
Singapore,lockdown
Sint Eustatius,No
Sint Maarten,No
Slovakia,lockdown
Slovenia,lockdown
Solomon Islands,lockdown
Somalia,No
South Africa,lockdown
South Sudan,No
Spain,lockdown
Sri Lanka,lockdown
Sudan,lockdown
Suriname,lockdown
Sweden,No
Switzerland,lockdown
Syrian Arab Republic,lockdown
Tajikistan,No
Thailand,lockdown
The United Kingdom,lockdown
Timor-Leste,No
Togo,lockdown
Tokelau,No
Tonga,lockdown
Trinidad and Tobago,lockdown
Tunisia,lockdown
Turkey,lockdown
Turkmenistan,No
Turks and Caicos Islands,No
Tuvalu,No
Uganda,lockdown
Ukraine,lockdown
United Arab Emirates,lockdown
United Republic of Tanzania,No
United States of America,No
United States Virgin Islands,No
Uruguay,lockdown
Uzbekistan,lockdown
Vanuatu,lockdown
Venezuela (Bolivarian Republic of),lockdown
Viet Nam,lockdown
Wallis and Futuna,No
Yemen,lockdown
Zambia,No
Zimbabwe,lockdown
